"factor","q1_size_backPropagation","q1_size_lazy_syncer","q1_size_reference_mapper","q2_size_backPropagation","q2_size_lazy_syncer","q2_size_reference_mapper","q3_size_backPropagation","q3_size_lazy_syncer","q3_size_reference_mapper","size_model"
"00_0625","3","35.0","55463","0","47850.0","55463","883","31538.0","55463","51488"
"00_125","3","13.0","84166","0","71648.0","84166","1338","48342.0","84166","60437"
"00_25","3","5.0","167242","0","143510.0","167242","2708","95487.0","167242","84903"
"00_5","3","5.0","332987","0","287466.0","332987","5654","189253.0","332987","133394"
"01","3","9.0","664036","0","575028.0","664036","11727","376522.0","664036","230287"
"02","3","11.0","1288030","0","1150570.0","1288030","23231","712745.0","1288030","396178"
"04","3","11.0","2527000","0","2299130.0","2527000","46098","1377435.0","2527000","727828"
"08","3","15.0","5006596","0","4601328.0","5006596","54806","2705932.0","5006596","1392397"
"16","3","61.0","9408198","0","9206178.0","9408198","124447","4805109.0","9408198","2438085"
